,Label,Url,url_delimiter_count,url_digit_count,url_letter_count,url_symbol_count,url_digit_to_letter_ratio,url_encodes_characters,url_uses_https,url_get_port,url_uses_default_port_number,domain,domain_delimiter_count,domain_digit_count,domain_letter_count,domain_symbol_count,domain_digit_to_letter_ratio,path,path_delimiter_count,path_digit_count,path_letter_count,path_symbol_count,path_digit_to_letter_ratio,query,query_delimiter_count,query_digit_count,query_letter_count,query_symbol_count,query_digit_to_letter_ratio,total_query_variable_length,avg_query_variable_length,max_query_variable_length,total_query_variable_digit_count,avg_query_variable_digit_count,avg_query_variable_letter_count,total_query_variable_symbol_count,avg_query_variable_symbol_count,total_query_value_length,avg_query_value_length,max_query_value_length,total_query_value_digit_count,avg_query_value_digit_count,avg_query_value_letter_count,total_query_value_symbol_count,avg_query_value_symbol_count,fragment,fragment_delimiter_count,fragment_digit_count,fragment_letter_count,fragment_symbol_count,fragment_digit_to_letter_ratio,file_ext,file_ext_delimiter_count,file_ext_digit_count,file_ext_letter_count,file_ext_symbol_count,file_ext_digit_to_letter_ratio,file_ext_is_executable
0,0.0,http://u588262zce.ha003.t.justns.ru/voscomptesenligne.labanquepostale.fr/mescomptes-enligne-labanquepostale.fr-ID2938942042300/po/login.php,18,22,99,0,0.2222222222222222,0,0,-1,0,u588262zce.ha003.t.justns.ru,4,9,15,0,0.6,/voscomptesenligne.labanquepostale.fr/mescomptes-enligne-labanquepostale.fr-ID2938942042300/po/login.php,11,13,80,0,0.1625,,11,13,80,0,0.1625,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,,0,0,0,0,0.0,php,0,0,3,0,0.0,0.0
1,0.0,http://myarea-autoscout24.de/login,6,2,26,0,0.07692307692307693,0,0,-1,0,myarea-autoscout24.de,2,2,17,0,0.11764705882352941,/login,1,0,5,0,0.0,,1,0,5,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0.0
2,0.0,https://unviewed-correlatio.000webhostapp.com/bm/time%20update/crypt/index.html,11,5,62,0,0.08064516129032258,1,1,-1,0,unviewed-correlatio.000webhostapp.com,3,3,31,0,0.0967741935483871,/bm/time%20update/crypt/index.html,5,2,26,0,0.07692307692307693,,5,2,26,0,0.07692307692307693,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,,0,0,0,0,0.0,html,0,0,4,0,0.0,0.0
3,0.0,http://barcolena.cf/AA/ourtime/,7,0,24,0,0.0,0,0,-1,0,barcolena.cf,1,0,11,0,0.0,/AA/ourtime/,3,0,9,0,0.0,,3,0,9,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0.0
4,0.0,http://barcolena.cf/ourtime/ourtimepage/,7,0,33,0,0.0,0,0,-1,0,barcolena.cf,1,0,11,0,0.0,/ourtime/ourtimepage/,3,0,18,0,0.0,,3,0,18,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0.0
5,0.0,http://gundu.ml/mosxs/updated_drive_shared_securely_online%20-%20Copy/,12,4,52,0,0.07692307692307693,1,0,-1,0,gundu.ml,1,0,7,0,0.0,/mosxs/updated_drive_shared_securely_online%20-%20Copy/,8,4,41,0,0.0975609756097561,,8,4,41,0,0.0975609756097561,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0.0
6,0.0,http://emirateslive.ml/v3/ourtime2020/,7,5,26,0,0.19230769230769232,0,0,-1,0,emirateslive.ml,1,0,14,0,0.0,/v3/ourtime2020/,3,5,8,0,0.625,,3,5,8,0,0.625,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0.0
7,0.0,http://barcolena.ml/Viewme/ourtime.com/login.php,9,0,39,0,0.0,0,0,-1,0,barcolena.ml,1,0,11,0,0.0,/Viewme/ourtime.com/login.php,5,0,24,0,0.0,,5,0,24,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,,0,0,0,0,0.0,php,0,0,3,0,0.0,0.0
8,0.0,http://emirateslive.gq/docs/toda/,7,0,26,0,0.0,0,0,-1,0,emirateslive.gq,1,0,14,0,0.0,/docs/toda/,3,0,8,0,0.0,,3,0,8,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0.0
9,0.0,http://barcolena.tk/mike/Ourtime/,7,0,26,0,0.0,0,0,-1,0,barcolena.tk,1,0,11,0,0.0,/mike/Ourtime/,3,0,11,0,0.0,,3,0,11,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0.0
10,0.0,http://emirateslive.cf/sharepoint2/sharepoint2/sharepoint/sharepoint/management/,10,2,68,0,0.029411764705882353,0,0,-1,0,emirateslive.cf,1,0,14,0,0.0,/sharepoint2/sharepoint2/sharepoint/sharepoint/management/,6,2,50,0,0.04,,6,2,50,0,0.04,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0.0
11,0.0,http://barcolena.tk/Hope%20/Ourtime/,7,2,26,0,0.07692307692307693,1,0,-1,0,barcolena.tk,1,0,11,0,0.0,/Hope%20/Ourtime/,3,2,11,0,0.18181818181818182,,3,2,11,0,0.18181818181818182,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0.0
