phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target
6378153,http://lojadescontototal.com/045atggynmay!004ajn/index.php?o-de-panelas-tramontina-antiaderente-de-aluminio-vermelho-10-pecas-turim-20298-722/p/144129900/ud/panl/&amp;id=1,http://www.phishtank.com/phish_detail.php?phish_id=6378153,2020-01-31T00:33:53+00:00,yes,2020-01-31T00:34:32+00:00,yes,Other
6378118,https://cliente.pontosdeviagens.com/1b592399791e2c1b8d82d38c17ae1e08.php,http://www.phishtank.com/phish_detail.php?phish_id=6378118,2020-01-30T23:57:24+00:00,yes,2020-01-30T23:58:15+00:00,yes,Other
6378117,https://oferta-da-semana.online/magazineluiza.com.br-35481847/index.php?&amp;id=1,http://www.phishtank.com/phish_detail.php?phish_id=6378117,2020-01-30T23:55:45+00:00,yes,2020-01-30T23:56:46+00:00,yes,Other
6378116,http://lojamagazinepromo.com/25181aihj521800084/index.php?o-de-panelas-tramontina-antiaderente-de-aluminio-vermelho-10-pecas-turim-20298-722/p/144129900/ud/panl/?origin=aut&amp;id=1,http://www.phishtank.com/phish_detail.php?phish_id=6378116,2020-01-30T23:53:44+00:00,yes,2020-01-30T23:55:17+00:00,yes,Other
6378086,http://security-restriction-paypai.com/egg.php,http://www.phishtank.com/phish_detail.php?phish_id=6378086,2020-01-30T23:06:00+00:00,yes,2020-01-31T00:20:28+00:00,yes,PayPal
6378082,https://itau-bank.tk/home.php,http://www.phishtank.com/phish_detail.php?phish_id=6378082,2020-01-30T23:00:18+00:00,yes,2020-01-30T23:10:01+00:00,yes,Other
6378011,https://3zonasegura-viabcp.com/,http://www.phishtank.com/phish_detail.php?phish_id=6378011,2020-01-30T22:02:48+00:00,yes,2020-01-30T22:05:02+00:00,yes,Other
6378000,https://airbookingsng.tk/c/,http://www.phishtank.com/phish_detail.php?phish_id=6378000,2020-01-30T21:46:17+00:00,yes,2020-01-30T21:55:24+00:00,yes,Other
6377993,https://app.magalu.promocoessohoje.site/so-hoje.app-site-na-magalu-tem-ofertas-especial/magalu/so_no_app/esse_desconto/smart-tv-4k-led-55-samsung-wi-fi-conversor-digital-3-hdmi-2-usb/oferta/Processado.php,http://www.phishtank.com/phish_detail.php?phish_id=6377993,2020-01-30T21:33:38+00:00,yes,2020-01-30T21:36:03+00:00,yes,Other
6377928,https://www.komunitasfilmpramuka.org/ched/tnop.php,http://www.phishtank.com/phish_detail.php?phish_id=6377928,2020-01-30T21:10:11+00:00,yes,2020-01-30T21:11:28+00:00,yes,"ABSA Bank"
6377921,https://nudisplays.co.za/cliente_id/bopaxarohiyake/B3VMLR0I35XGZQXXWN?cliente=eletrika2005@terra.com.br/ZDAWBIZFOB4H7VF7NSXM7MRO/termino.aspx,http://www.phishtank.com/phish_detail.php?phish_id=6377921,2020-01-30T21:01:41+00:00,yes,2020-01-30T21:15:11+00:00,yes,Other
6377920,https://tinyurl.com/snj9vdj/?cliente=eletrika2005@terra.com.br/ZDAWBIZFOB4H7VF7NSXM7MRO/termino.aspx,http://www.phishtank.com/phish_detail.php?phish_id=6377920,2020-01-30T21:01:38+00:00,yes,2020-01-30T21:15:11+00:00,yes,Other
6377901,http://shopifycoders.com/wp-admin/din/login.php,http://www.phishtank.com/phish_detail.php?phish_id=6377901,2020-01-30T21:00:33+00:00,yes,2020-01-30T21:24:56+00:00,yes,Other
6377889,http://app.segurancamobile.mobi/index_3.php,http://www.phishtank.com/phish_detail.php?phish_id=6377889,2020-01-30T20:46:37+00:00,yes,2020-01-30T21:13:42+00:00,yes,Other
