Label,Url
0.0,http://u588262zce.ha003.t.justns.ru/voscomptesenligne.labanquepostale.fr/mescomptes-enligne-labanquepostale.fr-ID2938942042300/po/login.php
0.0,http://myarea-autoscout24.de/login
0.0,https://unviewed-correlatio.000webhostapp.com/bm/time%20update/crypt/index.html
0.0,http://barcolena.cf/AA/ourtime/
0.0,http://barcolena.cf/ourtime/ourtimepage/
0.0,http://gundu.ml/mosxs/updated_drive_shared_securely_online%20-%20Copy/
0.0,http://emirateslive.ml/v3/ourtime2020/
0.0,http://barcolena.ml/Viewme/ourtime.com/login.php
0.0,http://emirateslive.gq/docs/toda/
0.0,http://barcolena.tk/mike/Ourtime/
0.0,http://emirateslive.cf/sharepoint2/sharepoint2/sharepoint/sharepoint/management/
0.0,http://barcolena.tk/Hope%20/Ourtime/
0.0,http://barcolena.tk/Ourtime/Ourtime/
0.0,http://barcolena.cf/viz/v4/
0.0,http://barcolena.tk/newcrl/OurTime%202019/
0.0,https://paypai-user-security-ref018.com/
0.0,http://wcssolutionis.com/Onedrive1/
0.0,http://apnamazahai1.com/Zyzyz/Chase/
0.0,http://apnamazahai1.com/Blso/Chase/
0.0,http://rpbuon.com/blockchain/bch/
0.0,http://nxtlvl-gaming.com/HUD/off-vl/
0.0,http://nxtlvl-gaming.com/HUD1/off-vl/
0.0,http://reflectivetherapy.co.uk/0000/
0.0,http://reflectivetherapy.co.uk/0000/login.php?cmd=login_submit&id=1ba960639a01c4cd376c27019b9e19831ba960639a01c4cd376c27019b9e1983&session=1ba960639a01c4cd376c27019b9e19831ba960639a01c4cd376c27019b9e1983
0.0,https://dnabanglamark.com/Excel01_Spreadsheet02/Xls_Sheet/Sheet0
0.0,http://netzero.consulting/5/onedrive/
0.0,http://netzero.consulting/4/off-vl/
0.0,http://jrshowpro.com/Updateaccount/LUNO%20NEW/
0.0,http://icruisetrip.com/wells/login.php
0.0,http://heartoftexashoops.com/00z/login.php
0.0,http://heartoftexashoops.com/PENT/login.php
0.0,http://bluemangoinc.com/outlook5/login.php
0.0,http://amandanucklesphotography.com/oned/onedrive/
0.0,http://amandanuckles.com/00xx/login.php
0.0,http://amybeachyrealtor.com/oned/drive/
0.0,http://adult-sights.com/outlook1/56yu7/login.php
0.0,http://alexandriafinch.com/securecourtorder/
0.0,http://alexandriafinch.com/securecourtorder/login.php?l=_JeHFUq_VJOXK0QWHtoGYDw1774256418&fid.13InboxLight.aspxn.1774256418&fid.125289964252813InboxLight99642_Product-email&email=
0.0,http://alexandriafinch.com/mbdattorneys-courtorder/
